Topic,Words,Frequency,Timestamp
22,"id, fake, passport, fake id, license",449,2019-10-29 08:00:00.000
22,"uncut coca, coca empire, coca, cocaine uncut, colombian cocaine",1,2020-01-21 16:00:00.000
23,"drug, drugsuk, drugs, anyone, vendor",87,2019-08-05 17:55:40.800
23,"drug, drugsuk, drugs, vendor, anyone",468,2019-10-29 08:00:00.000
23,"without return, letter goody, goody without, goody, return address",1,2020-01-21 16:00:00.000
24,"coke, coke vendor, best coke, uk, good coke",98,2019-08-05 17:55:40.800
24,"coke, coke vendor, best coke, best, uk coke",445,2019-10-29 08:00:00.000
24,"vendors selective, selective shipping, international vendors, selective, vendors",1,2020-01-21 16:00:00.000
25,"pill, xtc, xtc pill, pills, ecstasy",95,2019-08-05 17:55:40.800
25,"pill, xtc, xtc pill, pills, ecstasy",411,2019-10-29 08:00:00.000
25,"week half, marked sent, usd cashout, favorite email, half accepted",3,2020-01-21 16:00:00.000
26,"counterfeit, note, euro, money, counterfeit money",88,2019-08-05 17:55:40.800
26,"counterfeit, note, euro, money, counterfeit euro",394,2019-10-29 08:00:00.000
26,"shitpost hello, hello going, shitpost, hello, going",1,2020-01-21 16:00:00.000
27,"ketamine, ketamine vendor, ketamine review, domestic, uk",74,2019-08-05 17:55:40.800
27,"ketamine, ketamine vendor, ketamine review, review, mdma ketamine",390,2019-10-29 08:00:00.000
27,"url list, red bentuangie, amount dried, powder orally, measured amount",3,2020-01-21 16:00:00.000
28,"wsm, wsm wsm, wsm vendor, vendor wsm, vendor",74,2019-08-05 17:55:40.800
28,"wsm, wsm wsm, wsm vendor, vendor wsm, vendor",404,2019-10-29 08:00:00.000
28,"wsm, flavorz cart, tried flavorz, mode usaconnect, forget beware",7,2020-01-21 16:00:00.000
29,"meth, crystal meth, crystal, meth vendor, methamphetamine",92,2019-08-05 17:55:40.800
29,"meth, crystal meth, crystal, meth vendor, methamphetamine",385,2019-10-29 08:00:00.000
29,"usps transit, facility day, onslaught, next facility, transit next",2,2020-01-21 16:00:00.000
30,"ticket, support ticket, support, please, ticket support",73,2019-08-05 17:55:40.800
30,"ticket, support ticket, support, please, month",405,2019-10-29 08:00:00.000
30,"dollar xmr, help terplord, converting dollar, terplord lying, lying win",2,2020-01-21 16:00:00.000
31,"hacked, hacker, hacking, job, lfw",98,2019-08-05 17:55:40.800
31,"hacked, hacker, hacking, job, lfw",373,2019-10-29 08:00:00.000
32,"login, account, password, fa, log",89,2019-08-05 17:55:40.800
32,"login, account, password, log, fa",377,2019-10-29 08:00:00.000
32,"vendor mushmobb, address gone, axelrod, axelrod time, bobby axelrod",4,2020-01-21 16:00:00.000
33,"adderall, mg, ir, ritalin, vyvanse",72,2019-08-05 17:55:40.800
33,"adderall, mg, ir, vyvanse, mg adderall",399,2019-10-29 08:00:00.000
33,"stealing car, dbay server, server update, lfw phishing, website builder",3,2020-01-21 16:00:00.000
34,"xmr, btc xmr, btc, xmrto, xmr btc",89,2019-08-05 17:55:40.800
34,"xmr, btc xmr, btc, xmrto, xmr btc",340,2019-10-29 08:00:00.000
34,"guyz, banned cgmc, copy sketchup, find torrent, fuck guyz",4,2020-01-21 16:00:00.000
35,"tails, tail, electrum, wallet, monero",63,2019-08-05 17:55:40.800
35,"tails, tail, electrum, wallet, monero",326,2019-10-29 08:00:00.000
35,"delays pharmauk, pharmauk sorry, pharmauk, order delays, dutchdrugz free",4,2020-01-21 16:00:00.000
36,"mushroom, mushrooms, shrooms, magic, cubensis",80,2019-08-05 17:55:40.800
36,"mushroom, mushrooms, shrooms, magic, cubensis",289,2019-10-29 08:00:00.000
36,"vacay sendoff, sendoff review, sendoff, deadheadfred vacay, case crosspost",2,2020-01-21 16:00:00.000
37,"dread, dread dread, cafe dread, cafe, dread word",74,2019-08-05 17:55:40.800
37,"dread, dread dread, cafe dread, cafe, dread word",344,2019-10-29 08:00:00.000
37,"admin responding, are admin, responding message, responding, are",1,2020-01-21 16:00:00.000
38,"cc, cvv, vbv, non, cc vendor",57,2019-08-05 17:55:40.800
38,"cc, cvv, vbv, cc vendor, cc cvv",322,2019-10-29 08:00:00.000
38,"winter menu, premier vendor, menu tou, tou hq, britishknights customers",3,2020-01-21 16:00:00.000
39,"cryptonia, cryptonia market, cryptonia cryptonia, market, dcdutchconnectionuk",64,2019-08-05 17:55:40.800
39,"cryptonia, cryptonia market, cryptonia cryptonia, market, dcdutchconnectionuk",310,2019-10-29 08:00:00.000
39,"related bust, another darknet, darknet related, related, bust",1,2020-01-21 16:00:00.000
40,"withdraw, withdrawal, withdrawl, btc, working",80,2019-08-05 17:55:40.800
40,"withdraw, withdrawal, withdrawl, working, btc",314,2019-10-29 08:00:00.000
40,"ship asian, recommended markets, asian country, able ship, vendor able",3,2020-01-21 16:00:00.000
41,"escrow, multisig, escrow escrow, order, full escrow",63,2019-08-05 17:55:40.800
41,"escrow, multisig, escrow escrow, full escrow, escrow order",271,2019-10-29 08:00:00.000
41,"clawedfeats mia, clawedfeats, mia, escrow, multisig",1,2020-01-21 16:00:00.000
42,"heroin, heroin vendor, afghan, afghan heroin, synthetic heroin",62,2019-08-05 17:55:40.800
42,"heroin, heroin vendor, afghan, afghan heroin, synthetic heroin",316,2019-10-29 08:00:00.000
43,"de, har, blocked, med, account",56,2019-08-05 17:55:40.800
43,"de, har, noen, fra, som",284,2019-10-29 08:00:00.000
43,"darknet heading, heading, darknet, de, har",1,2020-01-21 16:00:00.000
44,"dnm, dnms, usa, dn, usa usa",65,2019-08-05 17:55:40.800
44,"dnm, dnms, dn, bible, dnstars",274,2019-10-29 08:00:00.000
45,"wallstreet, wall, wall street, street, street market",54,2019-08-05 17:55:40.800
45,"wallstreet, wall, wall street, street, wall st",251,2019-10-29 08:00:00.000
45,"lilxanax empire, lilxanax, empire, wallstreet, wall",1,2020-01-21 16:00:00.000
46,"ddos, ddos attack, attack, need ssn, ddos ddos",49,2019-08-05 17:55:40.800
46,"ddos, ddos attack, attack, ddos attacks, ddos ddos",233,2019-10-29 08:00:00.000
46,"are sale, sale getting, getting worse, worse, are",1,2020-01-21 16:00:00.000
47,"paypal, transfer, paypal transfer, paypal account, paypal fund",58,2019-08-05 17:55:40.800
47,"paypal, transfer, paypal transfer, paypal account, western union",269,2019-10-29 08:00:00.000
48,"heard, anyone, happened, anyone heard, girlscout",62,2019-08-05 17:55:40.800
48,"heard, anyone, happened, anyone heard, has anyone",217,2019-10-29 08:00:00.000
48,"first ordersthis, ordersthis sunday, flippable, flippable gh, cheap flippable",2,2020-01-21 16:00:00.000
49,"benzo, benzos, rc, benzo vendor, rc benzos",58,2019-08-05 17:55:40.800
49,"benzos, benzo, rc, benzo vendor, rc benzos",250,2019-10-29 08:00:00.000
50,"fraud, fraudsters, store, fraud vendor, release automatically",34,2019-08-05 17:55:40.800
50,"fraud, fraudsters, fraud vendor, loan, loan fraud",291,2019-10-29 08:00:00.000
50,"finalize reminder, reminder crosspost, auto finalize, reminder, finalize",1,2020-01-21 16:00:00.000
51,"dream, dream vendor, dream market, vendor, vendor dream",78,2019-08-05 17:55:40.800
